Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2023-12-18 05:50:00,41103.47000000,41103.47000000,41062.52000000,41077.99000000,41.03338000,2023-12-18 05:50:59.999,1685767.15900240,1294,8.94446000,367337.53114290,0
2023-12-18 05:51:00,41078.00000000,41078.00000000,41058.00000000,41061.80000000,30.30846000,2023-12-18 05:51:59.999,1244746.38004720,1239,5.41881000,222533.36496930,0
2023-12-18 05:52:00,41061.79000000,41063.81000000,41054.01000000,41058.47000000,16.04725000,2023-12-18 05:52:59.999,658910.84789330,1872,7.89865000,324318.01596550,0
2023-12-18 05:53:00,41058.47000000,41074.86000000,41058.47000000,41066.09000000,20.82135000,2023-12-18 05:53:59.999,855048.88737060,1180,10.35588000,425261.16312390,0
2023-12-18 05:54:00,41066.09000000,41070.18000000,41066.08000000,41070.18000000,14.09224000,2023-12-18 05:54:59.999,578716.70181700,497,5.02007000,206156.31927260,0
2023-12-18 05:55:00,41070.17000000,41070.18000000,41070.17000000,41070.17000000,7.17197000,2023-12-18 05:55:59.999,294554.04281580,291,1.56809000,64401.73855620,0
2023-12-18 05:56:00,41070.17000000,41070.18000000,41038.21000000,41038.22000000,36.23297000,2023-12-18 05:56:59.999,1487573.15525080,1117,2.50965000,103025.09795310,0
2023-12-18 05:57:00,41038.21000000,41045.57000000,41019.71000000,41033.99000000,92.40389000,2023-12-18 05:57:59.999,3791779.12701970,1285,11.45761000,470113.97501140,0
2023-12-18 05:58:00,41033.99000000,41036.12000000,41001.94000000,41027.98000000,85.91147000,2023-12-18 05:58:59.999,3523684.09874760,1957,20.06406000,822888.77558610,0
2023-12-18 05:59:00,41027.98000000,41038.38000000,40999.74000000,41004.18000000,186.85874000,2023-12-18 05:59:59.999,7663256.89342960,1589,84.52440000,3465789.30730070,0
2023-12-18 06:00:00,41004.19000000,41006.00000000,40999.00000000,41004.99000000,35.72260000,2023-12-18 06:00:59.999,1464735.92396280,1272,14.62470000,599648.97108780,0
2023-12-18 06:01:00,41004.98000000,41025.97000000,41002.02000000,41025.96000000,18.45487000,2023-12-18 06:01:59.999,756777.75130670,770,9.10284000,373291.82297900,0
2023-12-18 06:02:00,41025.96000000,41038.38000000,41019.74000000,41036.11000000,16.01186000,2023-12-18 06:02:59.999,656985.76517260,1385,5.62064000,230609.05195950,0
2023-12-18 06:03:00,41036.10000000,41036.11000000,41032.29000000,41032.30000000,20.88052000,2023-12-18 06:03:59.999,856827.34922730,546,6.17128000,253242.61599160,0
2023-12-18 06:04:00,41032.29000000,41032.30000000,41008.69000000,41013.09000000,33.06894000,2023-12-18 06:04:59.999,1356324.86409290,815,8.70004000,356793.02449110,0
2023-12-18 06:05:00,41013.09000000,41045.54000000,41013.09000000,41045.49000000,30.01573000,2023-12-18 06:05:59.999,1231410.00603630,1714,16.99102000,697081.20011430,0
2023-12-18 06:06:00,41045.48000000,41045.49000000,41033.63000000,41033.64000000,23.81458000,2023-12-18 06:06:59.999,977390.01047050,581,6.34126000,260242.61419090,0
2023-12-18 06:07:00,41033.63000000,41052.76000000,41033.63000000,41047.32000000,14.60806000,2023-12-18 06:07:59.999,599616.20787820,657,9.27364000,380642.93985390,0
2023-12-18 06:08:00,41047.31000000,41061.10000000,41047.31000000,41061.10000000,8.02401000,2023-12-18 06:08:59.999,329421.63614840,514,6.85381000,281380.88984040,0
2023-12-18 06:09:00,41061.09000000,41070.43000000,41061.09000000,41064.01000000,14.28879000,2023-12-18 06:09:59.999,586784.29116960,515,8.67893000,356399.39358870,0
2023-12-18 06:10:00,41064.00000000,41069.12000000,41064.00000000,41067.83000000,13.76047000,2023-12-18 06:10:59.999,565094.64161050,469,7.56421000,310629.32232590,0
2023-12-18 06:11:00,41067.84000000,41067.87000000,41067.83000000,41067.87000000,10.63410000,2023-12-18 06:11:59.999,436719.58489600,373,9.90175000,406643.54152410,0
2023-12-18 06:12:00,41067.87000000,41067.87000000,41053.24000000,41053.25000000,34.46719000,2023-12-18 06:12:59.999,1415285.05193370,1219,14.31145000,587591.31694050,0
2023-12-18 06:13:00,41053.24000000,41070.46000000,41053.24000000,41070.45000000,11.32746000,2023-12-18 06:13:59.999,465155.49435470,543,6.56402000,269530.11694640,0
2023-12-18 06:14:00,41070.46000000,41076.54000000,41054.18000000,41054.18000000,17.01888000,2023-12-18 06:14:59.999,698902.02159220,760,4.10533000,168592.53839430,0
2023-12-18 06:15:00,41054.19000000,41054.19000000,41044.84000000,41044.84000000,12.54831000,2023-12-18 06:15:59.999,515112.62146010,566,2.54567000,104501.80027330,0
2023-12-18 06:16:00,41044.85000000,41070.99000000,41026.76000000,41070.99000000,20.40491000,2023-12-18 06:16:59.999,837516.09408670,834,10.24067000,420355.32349860,0
2023-12-18 06:17:00,41070.98000000,41100.16000000,41070.98000000,41100.15000000,30.33316000,2023-12-18 06:17:59.999,1246229.35147150,1060,16.66107000,684541.30099960,0
2023-12-18 06:18:00,41100.16000000,41108.14000000,41100.15000000,41103.16000000,18.35687000,2023-12-18 06:18:59.999,754513.60669980,754,9.86126000,405314.90219530,0
2023-12-18 06:19:00,41103.16000000,41105.27000000,41102.05000000,41105.26000000,11.01930000,2023-12-18 06:19:59.999,452920.16889760,418,10.05399000,413243.55904890,0
2023-12-18 06:20:00,41105.27000000,41136.48000000,41105.26000000,41136.47000000,17.37878000,2023-12-18 06:20:59.999,714639.85965010,887,13.12613000,539752.69030110,0
2023-12-18 06:21:00,41136.48000000,41140.15000000,41126.75000000,41126.76000000,13.70392000,2023-12-18 06:21:59.999,563716.24394270,1468,3.08642000,126960.28443320,0
2023-12-18 06:22:00,41126.76000000,41130.00000000,41117.81000000,41128.75000000,12.80842000,2023-12-18 06:22:59.999,526731.96719590,1561,5.74787000,236365.60901130,0
2023-12-18 06:23:00,41128.74000000,41166.00000000,41128.74000000,41166.00000000,26.86177000,2023-12-18 06:23:59.999,1105338.72799910,1120,19.31128000,794623.95849210,0
2023-12-18 06:24:00,41166.00000000,41169.76000000,41158.44000000,41165.64000000,20.01390000,2023-12-18 06:24:59.999,823890.06002540,2179,8.90155000,366432.41202490,0
2023-12-18 06:25:00,41165.64000000,41165.64000000,41156.00000000,41162.00000000,14.85819000,2023-12-18 06:25:59.999,611574.88044760,1068,5.52921000,227574.73273470,0
2023-12-18 06:26:00,41162.00000000,41249.04000000,41161.99000000,41249.03000000,65.99253000,2023-12-18 06:26:59.999,2719529.01618590,5040,51.12798000,2106870.74563220,0
2023-12-18 06:27:00,41249.03000000,41249.99000000,41235.12000000,41236.83000000,21.90179000,2023-12-18 06:27:59.999,903289.59486130,1779,11.05625000,455983.05679890,0
2023-12-18 06:28:00,41236.84000000,41236.84000000,41222.00000000,41236.00000000,25.87643000,2023-12-18 06:28:59.999,1066900.78763810,1652,14.71313000,606626.99206850,0
2023-12-18 06:29:00,41236.00000000,41236.00000000,41217.44000000,41222.47000000,21.30224000,2023-12-18 06:29:59.999,878242.46664040,877,4.41504000,182022.64574360,0
2023-12-18 06:30:00,41222.47000000,41228.87000000,41204.59000000,41208.21000000,23.58212000,2023-12-18 06:30:59.999,971935.58862030,1375,10.93374000,450606.95730990,0
2023-12-18 06:31:00,41208.22000000,41226.45000000,41208.21000000,41223.44000000,13.44134000,2023-12-18 06:31:59.999,554038.70791170,574,6.34299000,261413.35400840,0
2023-12-18 06:32:00,41223.44000000,41229.23000000,41218.00000000,41223.62000000,26.92261000,2023-12-18 06:32:59.999,1109894.90645680,895,8.97534000,369985.07222010,0
2023-12-18 06:33:00,41223.62000000,41223.62000000,41203.25000000,41203.25000000,10.23414000,2023-12-18 06:33:59.999,421757.32373710,540,1.57122000,64755.62224480,0
2023-12-18 06:34:00,41203.25000000,41203.26000000,41200.37000000,41203.25000000,12.62466000,2023-12-18 06:34:59.999,520154.29907700,418,5.54498000,228460.71694730,0
2023-12-18 06:35:00,41203.25000000,41203.26000000,41203.25000000,41203.26000000,3.74337000,2023-12-18 06:35:59.999,154239.02856410,235,1.86116000,76685.85938160,0
2023-12-18 06:36:00,41203.26000000,41203.26000000,41186.72000000,41192.00000000,13.39581000,2023-12-18 06:36:59.999,551839.48615140,595,6.13727000,252795.87632280,0
2023-12-18 06:37:00,41192.00000000,41193.99000000,41181.10000000,41193.99000000,13.04449000,2023-12-18 06:37:59.999,537308.33390520,566,5.26194000,216736.30255630,0
2023-12-18 06:38:00,41193.98000000,41193.99000000,41181.11000000,41181.13000000,10.60601000,2023-12-18 06:38:59.999,436840.62651490,519,2.22315000,91555.06607560,0
2023-12-18 06:39:00,41181.12000000,41193.99000000,41168.18000000,41193.99000000,15.08357000,2023-12-18 06:39:59.999,621141.05847790,836,6.72831000,277066.17408840,0
2023-12-18 06:40:00,41193.99000000,41193.99000000,41188.12000000,41190.18000000,10.65470000,2023-12-18 06:40:59.999,438882.13841570,445,5.26715000,216955.26150090,0
2023-12-18 06:41:00,41190.19000000,41190.19000000,41178.48000000,41189.75000000,9.55207000,2023-12-18 06:41:59.999,393430.98105710,695,2.49456000,102740.52615280,0
2023-12-18 06:42:00,41189.75000000,41194.00000000,41184.94000000,41184.95000000,19.05374000,2023-12-18 06:42:59.999,784835.40722050,616,6.74124000,277669.97736100,0
